"pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"1st","1","female",29,0,0,211.337494,"Southampton","Miss","1"
"1st","0","male",71,0,0,49.5042,"Cherbourg","Mr","1"
"1st","1","female",48,1,0,39.5999985,"Cherbourg","Lady","0"
"3rd","1","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","1","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","female",NA,2,0,23.25,"Queenstown","Miss","0"
"3rd","1","female",NA,2,0,23.25,"Queenstown","Miss","0"
"3rd","1","male",NA,2,0,23.25,"Queenstown","Mr","0"
"3rd","1","female",NA,0,0,7.7874999,"Queenstown","Miss","1"
"3rd","0","male",NA,0,0,15.5,"Queenstown","Mr","1"
"3rd","1","female",NA,0,0,7.87919998,"Queenstown","Miss","1"
"3rd","1","female",15,0,0,8.0291996,"Queenstown","Miss","1"
"3rd","0","female",35,0,0,7.75,"Queenstown","Miss","1"
"1st","1","male",49,1,0,56.9291992,"Cherbourg","Sir","0"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",24,1,0,16.1000004,"Southampton","Mr","0"
"3rd","0","female",19,1,0,16.1000004,"Southampton","Mrs","0"
"3rd","0","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","0","female",NA,0,0,8.05000019,"Southampton","Miss","1"
"3rd","0","female",NA,0,0,8.05000019,"Southampton","Mrs","1"
"3rd","0","male",55.5,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","male",21,0,0,7.7750001,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"1st","0","male",39,0,0,29.7000008,"Cherbourg","Mr","1"
"3rd","0","male",24,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",21,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",28,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","1","female",NA,0,0,7.87919998,"Queenstown","Miss","1"
"3rd","0","male",25,0,0,7.6500001,"Southampton","Mr","1"
"3rd","1","male",6,0,1,12.4750004,"Southampton","Master","0"
"3rd","1","female",27,0,1,12.4750004,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","female",NA,1,0,24.1499996,"Queenstown","Miss","0"
"1st","1","female",23,0,1,83.1583023,"Cherbourg","Mrs","0"
"3rd","0","male",NA,1,0,24.1499996,"Queenstown","Mr","0"
"3rd","0","male",NA,0,0,8.45829964,"Queenstown","Mr","1"
"3rd","0","male",34,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","male",NA,0,0,7.7750001,"Southampton","Mr","1"
"3rd","1","male",NA,1,1,15.2458,"Cherbourg","Master","0"
"3rd","1","male",NA,1,1,15.2458,"Cherbourg","Master","0"
"3rd","1","female",NA,0,2,15.2458,"Cherbourg","Mrs","0"
"3rd","1","female",NA,0,0,7.22919989,"Cherbourg","Mrs","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"1st","1","female",38,0,0,227.524994,"Cherbourg","Miss","1"
"3rd","1","female",NA,0,0,7.73330021,"Queenstown","Miss","1"
"3rd","1","female",24,0,0,7.75,"Queenstown","Miss","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","female",NA,1,0,15.5,"Queenstown","Miss","0"
"3rd","1","female",NA,1,0,15.5,"Queenstown","Miss","0"
"3rd","1","female",NA,0,0,15.5,"Queenstown","Miss","1"
"3rd","0","male",18,0,0,7.75,"Southampton","Mr","1"
"3rd","0","male",22,0,0,7.89580011,"Southampton","Mr","1"
"3rd","1","female",15,0,0,7.2249999,"Cherbourg","Miss","1"
"3rd","1","female",1,0,2,15.7417002,"Cherbourg","Miss","0"
"1st","1","female",54,1,0,78.2667007,"Cherbourg","Miss","0"
"3rd","1","male",20,1,1,15.7417002,"Cherbourg","Mr","0"
"3rd","1","female",19,1,1,15.7417002,"Cherbourg","Mrs","0"
"3rd","0","male",33,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","0","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","1","male",12,1,0,11.2417002,"Cherbourg","Master","0"
"3rd","1","female",14,1,0,11.2417002,"Cherbourg","Miss","0"
"3rd","0","female",29,0,0,7.92500019,"Southampton","Miss","1"
"1st","0","female",36,0,0,31.6791992,"Cherbourg","Miss","1"
"3rd","0","male",28,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","female",18,0,0,7.7750001,"Southampton","Miss","1"
"3rd","1","female",26,0,0,7.85419989,"Southampton","Miss","1"
"3rd","0","male",21,0,0,7.85419989,"Southampton","Mr","1"
"3rd","0","male",41,0,0,7.125,"Southampton","Mr","1"
"3rd","1","male",39,0,0,7.92500019,"Southampton","Mr","1"
"3rd","0","male",21,0,0,7.80000019,"Southampton","Mr","1"
"3rd","0","male",28.5,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","1","female",22,0,0,7.75,"Southampton","Miss","1"
"3rd","0","male",61,0,0,6.23750019,"Southampton","Mr","1"
"1st","0","male",NA,0,0,221.779205,"Southampton","Mr","1"
"3rd","0","male",NA,1,0,15.5,"Queenstown","Mr","0"
"3rd","0","male",NA,0,0,7.82919979,"Queenstown","Mr","1"
"3rd","1","female",NA,1,0,15.5,"Queenstown","Mrs","0"
"3rd","0","male",NA,0,0,7.73330021,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",23,0,0,9.22500038,"Southampton","Mr","1"
"3rd","0","female",NA,0,0,7.75,"Queenstown","Ms","1"
"3rd","1","female",NA,0,0,7.75,"Queenstown","Miss","1"
"3rd","1","female",NA,0,0,7.87919998,"Queenstown","Miss","1"
"1st","1","female",NA,0,0,31.6833,"Southampton","Mrs","1"
"3rd","1","female",22,0,0,7.7750001,"Southampton","Miss","1"
"3rd","1","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","female",NA,0,0,7.82919979,"Queenstown","Miss","1"
"3rd","1","male",9,0,1,3.17079997,"Southampton","Master","0"
"3rd","0","male",28,0,0,22.5249996,"Southampton","Mr","1"
"3rd","0","male",42,0,1,8.4041996,"Southampton","Mr","0"
"3rd","0","male",NA,0,0,7.3125,"Southampton","Mr","1"
"3rd","0","female",31,0,0,7.85419989,"Southampton","Miss","1"
"3rd","0","male",28,0,0,7.85419989,"Southampton","Mr","1"
"3rd","1","male",32,0,0,7.7750001,"Southampton","Mr","1"
"1st","1","female",NA,0,0,110.883301,"Cherbourg","Miss","1"
"3rd","0","male",20,0,0,9.22500038,"Southampton","Mr","1"
"3rd","0","female",23,0,0,8.66250038,"Southampton","Miss","1"
"3rd","0","female",20,0,0,8.66250038,"Southampton","Miss","1"
"3rd","0","male",20,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","male",16,0,0,9.2166996,"Southampton","Mr","1"
"3rd","1","female",31,0,0,8.68330002,"Southampton","Mrs","1"
"3rd","0","female",NA,0,0,7.62919998,"Queenstown","Miss","1"
"3rd","0","male",2,3,1,21.0750008,"Southampton","Master","0"
"3rd","0","male",6,3,1,21.0750008,"Southampton","Master","0"
"3rd","0","female",3,3,1,21.0750008,"Southampton","Miss","0"
"1st","0","male",47,1,0,227.524994,"Cherbourg","Col","0"
"1st","1","male",36,0,0,26.3875008,"Southampton","Mr","1"
"3rd","0","female",8,3,1,21.0750008,"Southampton","Miss","0"
"3rd","0","female",29,0,4,21.0750008,"Southampton","Mrs","0"
"3rd","0","male",1,4,1,39.6875,"Southampton","Master","0"
"3rd","0","male",7,4,1,39.6875,"Southampton","Master","0"
"3rd","0","male",2,4,1,39.6875,"Southampton","Master","0"
"3rd","0","male",16,4,1,39.6875,"Southampton","Mr","0"
"3rd","0","male",14,4,1,39.6875,"Southampton","Mr","0"
"3rd","0","female",41,0,5,39.6875,"Southampton","Mrs","0"
"3rd","0","male",21,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","male",19,0,0,14.5,"Southampton","Mr","1"
"1st","0","male",30,0,0,27.75,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,8.71249962,"Cherbourg","Mr","1"
"3rd","0","male",32,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",0.75,1,1,13.7749996,"Southampton","Master","0"
"3rd","0","female",3,1,1,13.7749996,"Southampton","Miss","0"
"3rd","0","female",26,0,2,13.7749996,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,7,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.7750001,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",21,0,0,7.92500019,"Southampton","Mr","1"
"3rd","0","male",25,0,0,7.92500019,"Southampton","Mr","1"
"1st","1","female",24,3,2,263,"Southampton","Miss","0"
"3rd","0","male",22,0,0,7.25,"Southampton","Mr","1"
"3rd","1","male",25,1,0,7.7750001,"Southampton","Mr","0"
"3rd","1","male",NA,1,1,22.3582993,"Cherbourg","Master","0"
"3rd","1","female",NA,1,1,22.3582993,"Cherbourg","Miss","0"
"3rd","1","female",NA,0,2,22.3582993,"Cherbourg","Mrs","0"
"3rd","0","female",NA,0,0,8.13749981,"Queenstown","Miss","1"
"3rd","0","male",24,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","female",28,0,0,7.89580011,"Southampton","Miss","1"
"3rd","0","male",19,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"1st","1","female",28,3,2,263,"Southampton","Miss","0"
"3rd","0","male",25,1,0,7.7750001,"Southampton","Mr","0"
"3rd","0","female",18,0,0,7.7750001,"Southampton","Miss","1"
"3rd","1","male",32,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",17,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","male",24,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","female",NA,0,0,8.11250019,"Southampton","Mrs","1"
"3rd","0","male",NA,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,7.25,"Southampton","Mr","1"
"1st","1","female",23,3,2,263,"Southampton","Miss","0"
"3rd","0","male",38,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",21,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",10,4,1,29.125,"Queenstown","Master","0"
"3rd","0","male",4,4,1,29.125,"Queenstown","Master","0"
"3rd","0","male",7,4,1,29.125,"Queenstown","Master","0"
"3rd","0","male",2,4,1,29.125,"Queenstown","Master","0"
"3rd","0","male",8,4,1,29.125,"Queenstown","Master","0"
"3rd","0","female",39,0,5,29.125,"Queenstown","Mrs","0"
"3rd","0","female",22,0,0,39.6875,"Southampton","Miss","1"
"3rd","0","male",35,0,0,7.125,"Southampton","Mr","1"
"1st","0","male",19,3,2,263,"Southampton","Mr","0"
"3rd","1","female",NA,0,0,7.72079992,"Queenstown","Miss","1"
"3rd","0","male",NA,0,0,14.5,"Southampton","Mr","1"
"3rd","0","female",NA,0,0,14.5,"Southampton","Mrs","1"
"3rd","0","male",50,1,0,14.5,"Southampton","Mr","0"
"3rd","0","female",47,1,0,14.5,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.7750001,"Southampton","Mr","1"
"3rd","0","female",2,1,1,20.2124996,"Southampton","Miss","0"
"3rd","0","male",18,1,1,20.2124996,"Southampton","Mr","0"
"3rd","0","female",41,0,2,20.2124996,"Southampton","Mrs","0"
"1st","0","male",64,1,4,263,"Southampton","Mr","0"
"3rd","1","female",NA,0,0,8.05000019,"Southampton","Miss","1"
"3rd","0","male",50,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",16,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,24.1499996,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","0","male",25,0,0,7.2249999,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,7.2249999,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,7.72919989,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.57499981,"Southampton","Mr","1"
"1st","1","female",60,1,4,263,"Southampton","Mrs","0"
"3rd","0","male",38.5,0,0,7.25,"Southampton","Mr","1"
"3rd","0","male",NA,8,2,69.5500031,"Southampton","Master","0"
"3rd","0","male",14.5,8,2,69.5500031,"Southampton","Master","0"
"3rd","0","female",NA,8,2,69.5500031,"Southampton","Miss","0"
"3rd","0","female",NA,8,2,69.5500031,"Southampton","Miss","0"
"3rd","0","female",NA,8,2,69.5500031,"Southampton","Miss","0"
"3rd","0","female",NA,8,2,69.5500031,"Southampton","Miss","0"
"3rd","0","male",NA,8,2,69.5500031,"Southampton","Mr","0"
"3rd","0","male",NA,8,2,69.5500031,"Southampton","Mr","0"
"3rd","0","male",NA,8,2,69.5500031,"Southampton","Mr","0"
"1st","1","female",30,0,0,56.9291992,"Cherbourg","Miss","1"
"3rd","0","male",NA,1,9,69.5500031,"Southampton","Mr","0"
"3rd","0","female",NA,1,9,69.5500031,"Southampton","Mrs","0"
"3rd","0","male",24,0,0,9.32499981,"Southampton","Mr","1"
"3rd","1","female",21,0,0,7.6500001,"Southampton","Miss","1"
"3rd","0","male",39,0,0,7.92500019,"Southampton","Mr","1"
"3rd","0","male",NA,2,0,21.6791992,"Cherbourg","Mr","0"
"3rd","0","male",NA,2,0,21.6791992,"Cherbourg","Mr","0"
"3rd","0","male",NA,2,0,21.6791992,"Cherbourg","Mr","0"
"3rd","1","female",1,1,1,16.7000008,"Southampton","Miss","0"
"3rd","1","female",24,0,2,16.7000008,"Southampton","Mrs","0"
"1st","0","male",NA,0,0,26.5499992,"Southampton","Mr","1"
"3rd","1","female",4,1,1,16.7000008,"Southampton","Miss","0"
"3rd","1","male",25,0,0,9.5,"Southampton","Mr","1"
"3rd","0","male",20,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",24.5,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.7249999,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","male",29,0,0,9.5,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,15.1000004,"Southampton","Mr","1"
"3rd","1","female",NA,0,0,7.77920008,"Queenstown","Miss","1"
"1st","1","female",18,1,0,227.524994,"Cherbourg","Mrs","0"
"1st","1","male",50,2,0,133.649994,"Southampton","Dr","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",22,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",40,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",21,0,0,7.92500019,"Southampton","Mr","1"
"3rd","1","female",18,0,0,7.49580002,"Southampton","Miss","1"
"3rd","0","male",4,3,2,27.8999996,"Southampton","Master","0"
"3rd","0","male",10,3,2,27.8999996,"Southampton","Master","0"
"3rd","0","female",9,3,2,27.8999996,"Southampton","Miss","0"
"1st","1","male",43,1,0,27.7208004,"Cherbourg","Mr","0"
"3rd","0","female",2,3,2,27.8999996,"Southampton","Miss","0"
"3rd","0","male",40,1,4,27.8999996,"Southampton","Mr","0"
"3rd","0","female",45,1,4,27.8999996,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","1","female",NA,0,0,7.73330021,"Queenstown","Miss","1"
"3rd","0","male",19,0,0,7.6500001,"Southampton","Mr","1"
"3rd","0","male",30,0,0,8.05000019,"Southampton","Mr","1"
"1st","1","female",NA,1,0,133.649994,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",32,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",33,0,0,8.66250038,"Cherbourg","Mr","1"
"3rd","1","female",23,0,0,7.55000019,"Southampton","Miss","1"
"3rd","0","male",21,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",60.5,0,0,33.2954793864144,"Southampton","Mr","1"
"3rd","0","male",19,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","female",22,0,0,9.83749962,"Southampton","Miss","1"
"3rd","1","male",31,0,0,7.92500019,"Southampton","Mr","1"
"1st","1","female",22,0,2,49.5,"Cherbourg","Miss","0"
"3rd","0","male",27,0,0,8.66250038,"Southampton","Mr","1"
"3rd","0","female",2,0,1,10.4624996,"Southampton","Miss","0"
"3rd","0","female",29,1,1,10.4624996,"Southampton","Mrs","0"
"3rd","1","male",16,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","male",44,0,0,7.92500019,"Southampton","Mr","1"
"3rd","0","male",25,0,0,7.05000019,"Southampton","Mr","1"
"3rd","0","male",74,0,0,7.7750001,"Southampton","Mr","1"
"3rd","1","male",14,0,0,9.22500038,"Southampton","Mr","1"
"3rd","0","male",24,0,0,7.79580021,"Southampton","Mr","1"
"3rd","1","male",25,0,0,7.79580021,"Southampton","Mr","1"
"1st","1","male",60,1,1,79.1999969,"Cherbourg","Mr","0"
"3rd","0","male",34,0,0,8.05000019,"Southampton","Mr","1"
"3rd","1","male",0.416700006,0,1,8.51669979,"Cherbourg","Master","0"
"3rd","0","male",NA,1,0,6.4375,"Cherbourg","Mr","0"
"3rd","0","male",NA,0,0,6.4375,"Cherbourg","Mr","1"
"3rd","0","male",NA,0,0,7.2249999,"Cherbourg","Mr","1"
"3rd","1","female",16,1,1,8.51669979,"Cherbourg","Mrs","0"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,1,0,16.1000004,"Southampton","Mr","0"
"3rd","1","female",NA,1,0,16.1000004,"Southampton","Mrs","0"
"3rd","0","male",32,0,0,7.92500019,"Southampton","Mr","1"
"1st","1","female",48,1,1,79.1999969,"Cherbourg","Mrs","0"
"3rd","0","male",NA,0,0,7.75,"Queenstown","Mr","1"
"3rd","0","male",NA,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",30.5,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",44,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","1","male",25,0,0,0,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.22919989,"Cherbourg","Mr","1"
"3rd","1","male",7,1,1,15.2458,"Cherbourg","Master","0"
"3rd","1","female",9,1,1,15.2458,"Cherbourg","Miss","0"
"3rd","1","female",29,0,2,15.2458,"Cherbourg","Mrs","0"
"1st","0","male",NA,0,0,0,"Southampton","Mr","1"
"3rd","0","male",36,0,0,7.89580011,"Southampton","Mr","1"
"3rd","1","female",18,0,0,9.8416996,"Southampton","Miss","1"
"3rd","1","female",63,0,0,9.58749962,"Southampton","Mrs","1"
"3rd","0","male",NA,1,1,14.5,"Southampton","Master","0"
"3rd","0","male",11.5,1,1,14.5,"Southampton","Master","0"
"3rd","0","male",40.5,0,2,14.5,"Southampton","Mr","0"
"3rd","0","female",10,0,2,24.1499996,"Southampton","Miss","0"
"3rd","0","male",36,1,1,24.1499996,"Southampton","Mr","0"
"3rd","0","female",30,1,1,24.1499996,"Southampton","Mrs","0"
"3rd","0","male",NA,0,0,9.5,"Southampton","Mr","1"
"1st","0","male",37,1,0,53.0999985,"Southampton","Mr","0"
"3rd","0","male",33,0,0,9.5,"Southampton","Mr","1"
"3rd","0","male",28,0,0,9.5,"Southampton","Mr","1"
"3rd","0","male",28,0,0,9.5,"Southampton","Mr","1"
"3rd","0","male",47,0,0,9,"Southampton","Mr","1"
"3rd","0","female",18,2,0,18,"Southampton","Miss","0"
"3rd","0","male",31,3,0,18,"Southampton","Mr","0"
"3rd","0","male",16,2,0,18,"Southampton","Mr","0"
"3rd","0","female",31,1,0,18,"Southampton","Mrs","0"
"3rd","1","male",22,0,0,7.2249999,"Cherbourg","Mr","1"
"3rd","0","male",20,0,0,7.85419989,"Southampton","Mr","1"
"1st","1","female",35,1,0,53.0999985,"Southampton","Mrs","0"
"3rd","0","female",14,0,0,7.85419989,"Southampton","Miss","1"
"3rd","0","male",22,0,0,7.89580011,"Southampton","Mr","1"
"3rd","0","male",22,0,0,9,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,7.55000019,"Southampton","Mr","1"
"3rd","0","male",NA,0,0,8.05000019,"Southampton","Mr","1"
